year,constructorRef,constructorId,name,nationality,url
2010,1,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2010,2,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2010,3,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2010,4,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
2010,5,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2010,6,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2010,7,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2010,8,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2010,9,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2010,10,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2010,11,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
2010,12,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2011,13,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2011,14,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2011,15,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2011,16,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
2011,17,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2011,18,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2011,19,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2011,20,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2011,21,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2011,22,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2011,23,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
2011,24,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2012,25,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
2012,26,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2012,27,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2012,28,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2012,29,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
2012,30,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
2012,31,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2012,32,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2012,33,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2012,34,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2012,35,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2012,36,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2013,37,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
2013,38,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
